service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
"185 General Haemorrhoidectomy 44,800",185 general haemorrhoidectomy 44 800,OTHER,,,included,,[],,,{},27,"185 General Haemorrhoidectomy 44,800","185 General Haemorrhoidectomy 44,800",enhanced_text,LOW,False
"186 General Hemicolectomy 134,400",186 general hemicolectomy 134 400,OTHER,,,included,,[],,,{},28,"186 General Hemicolectomy 134,400","186 General Hemicolectomy 134,400",enhanced_text,LOW,False
"192 General Intestinal resection + anastomosis 134,400",192 general intestinal resection anastomosis 134 400,OTHER,,,included,,[],,,{},28,"192 General Intestinal resection + anastomosis 134,400","192 General Intestinal resection + anastomosis 134,400",enhanced_text,LOW,False
"195 General Lateral Sphincterotomy 44,800",195 general lateral sphincterotomy 44 800,OTHER,,,included,,[],,,{},28,"195 General Lateral Sphincterotomy 44,800","195 General Lateral Sphincterotomy 44,800",enhanced_text,LOW,False
"196 General Lumbar puncture 5,600",196 general lumbar puncture 5 600,OTHER,,,included,,[],,,{},28,"196 General Lumbar puncture 5,600","196 General Lumbar puncture 5,600",enhanced_text,LOW,False
"202 General Orchidectomy 44,800",202 general orchidectomy 44 800,OTHER,,,included,,[],,,{},28,"202 General Orchidectomy 44,800","202 General Orchidectomy 44,800",enhanced_text,LOW,False
"205 General Partial Gastrectomy 123,200",205 general partial gastrectomy 123 200,OTHER,,,included,,[],,,{},28,"205 General Partial Gastrectomy 123,200","205 General Partial Gastrectomy 123,200",enhanced_text,LOW,False
"207 General Radical Mastectomy (To include lymph nodes clearance) 134,400",207 general radical mastectomy to include lymph nodes clearance 134 400,OTHER,,,included,,[],,,{},29,"207 General Radical Mastectomy (To include lymph nodes clearance) 134,400","207 General Radical Mastectomy (To include lymph nodes clearance) 134,400",enhanced_text,LOW,False
"217 General Simple Mastectomy 89,600",217 general simple mastectomy 89 600,OTHER,,,included,,[],,,{},29,"217 General Simple Mastectomy 89,600","217 General Simple Mastectomy 89,600",enhanced_text,LOW,False
"219 General Splenectomy 134,400",219 general splenectomy 134 400,OTHER,,,included,,[],,,{},29,"219 General Splenectomy 134,400","219 General Splenectomy 134,400",enhanced_text,LOW,False
"Surgical Debridement/Escharectomy: (Minor, Medium & Major), traumatic,",surgical debridement escharectomy minor medium major traumatic,SURGERY,,,included,,[],,,{},29,"Surgical Debridement/Escharectomy: (Minor, Medium & Major), traumatic,","Surgical Debridement/Escharectomy: (Minor, Medium & Major), traumatic,",enhanced_text,LOW,False
"224 General Thyroidectomy 134,400",224 general thyroidectomy 134 400,OTHER,,,included,,[],,,{},29,"224 General Thyroidectomy 134,400","224 General Thyroidectomy 134,400",enhanced_text,LOW,False
"225 General Total Gastrectomy 134,400",225 general total gastrectomy 134 400,OTHER,,,included,,[],,,{},29,"225 General Total Gastrectomy 134,400","225 General Total Gastrectomy 134,400",enhanced_text,LOW,False
"226 General Total Oesophagectomy 504,000",226 general total oesophagectomy 504 000,OTHER,,,included,,[],,,{},29,"226 General Total Oesophagectomy 504,000","226 General Total Oesophagectomy 504,000",enhanced_text,LOW,False
"228 General Transverse Colectomy 134,400",228 general transverse colectomy 134 400,OTHER,,,included,,[],,,{},30,"228 General Transverse Colectomy 134,400","228 General Transverse Colectomy 134,400",enhanced_text,LOW,False
"229 General Unilateral Adrenalectomy 168,000",229 general unilateral adrenalectomy 168 000,DIALYSIS,,,included,,[],,,{},30,"229 General Unilateral Adrenalectomy 168,000","229 General Unilateral Adrenalectomy 168,000",enhanced_text,LOW,False
"230 General Unilateral femoral herniorrhaphy 56,000",230 general unilateral femoral herniorrhaphy 56 000,OTHER,,,included,,[],,,{},30,"230 General Unilateral femoral herniorrhaphy 56,000","230 General Unilateral femoral herniorrhaphy 56,000",enhanced_text,LOW,False
"231 General Unilateral gynaecomastia correction 56,000",231 general unilateral gynaecomastia correction 56 000,OTHER,,,included,,[],,,{},30,"231 General Unilateral gynaecomastia correction 56,000","231 General Unilateral gynaecomastia correction 56,000",enhanced_text,LOW,False
"235 General Unilateral sympathectomy 56,000",235 general unilateral sympathectomy 56 000,OTHER,,,included,,[],,,{},30,"235 General Unilateral sympathectomy 56,000","235 General Unilateral sympathectomy 56,000",enhanced_text,LOW,False
"241 Interventional Radiology CT guided bone biopsy 22,400",241 interventional radiology ct guided bone biopsy 22 400,OTHER,,,included,,[],,,{},30,"241 Interventional Radiology CT guided bone biopsy 22,400","241 Interventional Radiology CT guided bone biopsy 22,400",enhanced_text,LOW,False
"242 Interventional Radiology CT guided lung biopsy 22,400",242 interventional radiology ct guided lung biopsy 22 400,OTHER,,,included,,[],,,{},30,"242 Interventional Radiology CT guided lung biopsy 22,400","242 Interventional Radiology CT guided lung biopsy 22,400",enhanced_text,LOW,False
"245 Interventional Radiology Embolization/Carotid/Renal/Hepatic (no coils) 224,000",245 interventional radiology embolization carotid renal hepatic no coils 224 000,DIALYSIS,,,included,,[],,,{},30,"245 Interventional Radiology Embolization/Carotid/Renal/Hepatic (no coils) 224,000","245 Interventional Radiology Embolization/Carotid/Renal/Hepatic (no coils) 224,000",enhanced_text,LOW,False
"Embolization/Carotid/Renal/Hepatic (no coils, embolization material and",embolization carotid renal hepatic no coils embolization material and,DIALYSIS,,,included,,[],,,{},30,"Embolization/Carotid/Renal/Hepatic (no coils, embolization material and","Embolization/Carotid/Renal/Hepatic (no coils, embolization material and",enhanced_text,LOW,False
"247 Interventional Radiology Embolization/Carotid/Renal/Hepatic (no micro catheter) 280,000",247 interventional radiology embolization carotid renal hepatic no micro catheter 280 000,DIALYSIS,,,included,,[],,,{},31,"247 Interventional Radiology Embolization/Carotid/Renal/Hepatic (no micro catheter) 280,000","247 Interventional Radiology Embolization/Carotid/Renal/Hepatic (no micro catheter) 280,000",enhanced_text,LOW,False
Flush Aortogram/Renal Artery/Hepatic (with embolization material and,flush aortogram renal artery hepatic with embolization material and,DIALYSIS,,,included,,[],,,{},31,Flush Aortogram/Renal Artery/Hepatic (with embolization material and,Flush Aortogram/Renal Artery/Hepatic (with embolization material and,enhanced_text,LOW,False
"253 Interventional Radiology Image guided dialysis catheter insertion 36,176",253 interventional radiology image guided dialysis catheter insertion 36 176,DIALYSIS,,,included,,[],,,{},31,"253 Interventional Radiology Image guided dialysis catheter insertion 36,176","253 Interventional Radiology Image guided dialysis catheter insertion 36,176",enhanced_text,LOW,False
"261 Interventional Radiology PTC/Biliary drainage (tubes not available) 56,000",261 interventional radiology ptc biliary drainage tubes not available 56 000,OTHER,,,included,,[],,,{},31,"261 Interventional Radiology PTC/Biliary drainage (tubes not available) 56,000","261 Interventional Radiology PTC/Biliary drainage (tubes not available) 56,000",enhanced_text,LOW,False
"262 Interventional Radiology PTC/Biliary drainage and stenting (stent available) 190,400",262 interventional radiology ptc biliary drainage and stenting stent available 190 400,OTHER,,,included,,[],,,{},31,"262 Interventional Radiology PTC/Biliary drainage and stenting (stent available) 190,400","262 Interventional Radiology PTC/Biliary drainage and stenting (stent available) 190,400",enhanced_text,LOW,False
270 Maxillofacial Bilateral Open Joint Arthroplasty with costochondral graft+/-Temporalis fascia 336,270 maxillofacial bilateral open joint arthroplasty with costochondral graft temporalis fascia 336,OTHER,,,included,,[],,,{},32,"270 Maxillofacial Bilateral Open Joint Arthroplasty with costochondral graft+/-Temporalis fascia 336,000","270 Maxillofacial Bilateral Open Joint Arthroplasty with costochondral graft+/-Temporalis fascia 336,000",enhanced_text,LOW,False
"272 Maxillofacial Closed reduction # Mandible/ Maxilla/MMF 134,400",272 maxillofacial closed reduction mandible maxilla mmf 134 400,OTHER,,,included,,[],,,{},32,"272 Maxillofacial Closed reduction # Mandible/ Maxilla/MMF 134,400","272 Maxillofacial Closed reduction # Mandible/ Maxilla/MMF 134,400",enhanced_text,LOW,False
"278 Maxillofacial Complex Salivary gland Sialedenectomy/Tumours excision+/-RMND 336,000",278 maxillofacial complex salivary gland sialedenectomy tumours excision rmnd 336 000,OTHER,,,included,,[],,,{},32,"278 Maxillofacial Complex Salivary gland Sialedenectomy/Tumours excision+/-RMND 336,000","278 Maxillofacial Complex Salivary gland Sialedenectomy/Tumours excision+/-RMND 336,000",enhanced_text,LOW,False
"279 Maxillofacial ComplexFacial STR+Viin/Parotid Duct Repair 112,000",279 maxillofacial complexfacial str viin parotid duct repair 112 000,OTHER,,,included,,[],,,{},32,"279 Maxillofacial ComplexFacial STR+Viin/Parotid Duct Repair 112,000","279 Maxillofacial ComplexFacial STR+Viin/Parotid Duct Repair 112,000",enhanced_text,LOW,False
"280 Maxillofacial Coronoidectomy 89,600",280 maxillofacial coronoidectomy 89 600,OTHER,,,included,,[],,,{},32,"280 Maxillofacial Coronoidectomy 89,600","280 Maxillofacial Coronoidectomy 89,600",enhanced_text,LOW,False
"281 Maxillofacial Costocondral graft to Mandible post Tumour resection and implant 168,000",281 maxillofacial costocondral graft to mandible post tumour resection and implant 168 000,OTHER,,,included,,[],,,{},32,"281 Maxillofacial Costocondral graft to Mandible post Tumour resection and implant 168,000","281 Maxillofacial Costocondral graft to Mandible post Tumour resection and implant 168,000",enhanced_text,LOW,False
Debridement of Necrotising Orofacial infections per,debridement of necrotising orofacial infections per,OTHER,,,included,,[],,,{},32,Debridement of Necrotising Orofacial infections per,Debridement of Necrotising Orofacial infections per,enhanced_text,LOW,False
"286 Maxillofacial EUA Diagnostic for Oro-facial / Biopsy 28,000",286 maxillofacial eua diagnostic for oro facial biopsy 28 000,OTHER,,,included,,[],,,{},32,"286 Maxillofacial EUA Diagnostic for Oro-facial / Biopsy 28,000","286 Maxillofacial EUA Diagnostic for Oro-facial / Biopsy 28,000",enhanced_text,LOW,False
"289 Maxillofacial Excision Of Oral / Facial Odontogenic tumors 280,000",289 maxillofacial excision of oral facial odontogenic tumors 280 000,ONCOLOGY,,,included,,[],,,{},33,"289 Maxillofacial Excision Of Oral / Facial Odontogenic tumors 280,000","289 Maxillofacial Excision Of Oral / Facial Odontogenic tumors 280,000",enhanced_text,LOW,False
"293 Maxillofacial Excisionof Oral/ Facial BCC + Local Flap Reconstruction 280,000",293 maxillofacial excisionof oral facial bcc local flap reconstruction 280 000,OTHER,,,included,,[],,,{},33,"293 Maxillofacial Excisionof Oral/ Facial BCC + Local Flap Reconstruction 280,000","293 Maxillofacial Excisionof Oral/ Facial BCC + Local Flap Reconstruction 280,000",enhanced_text,LOW,False
"294 Maxillofacial Exploration of Submandibular/ Parotid Gland duct w/ stent 112,000",294 maxillofacial exploration of submandibular parotid gland duct w stent 112 000,OTHER,,,included,,[],,,{},33,"294 Maxillofacial Exploration of Submandibular/ Parotid Gland duct w/ stent 112,000","294 Maxillofacial Exploration of Submandibular/ Parotid Gland duct w/ stent 112,000",enhanced_text,LOW,False
"297 Maxillofacial Exploration/Graft orbital fracture 201,600",297 maxillofacial exploration graft orbital fracture 201 600,OTHER,,,included,,[],,,{},33,"297 Maxillofacial Exploration/Graft orbital fracture 201,600","297 Maxillofacial Exploration/Graft orbital fracture 201,600",enhanced_text,LOW,False
"299 Maxillofacial Fractures of Upper face and cranioplasty 336,000",299 maxillofacial fractures of upper face and cranioplasty 336 000,OTHER,,,included,,[],,,{},33,"299 Maxillofacial Fractures of Upper face and cranioplasty 336,000","299 Maxillofacial Fractures of Upper face and cranioplasty 336,000",enhanced_text,LOW,False
"300 Maxillofacial Full thickness skin graft to oral defect- 89,600",300 maxillofacial full thickness skin graft to oral defect 89 600,OTHER,,,included,,[],,,{},33,"300 Maxillofacial Full thickness skin graft to oral defect- 89,600","300 Maxillofacial Full thickness skin graft to oral defect- 89,600",enhanced_text,LOW,False
"301 Maxillofacial Functional Orthognathic surgeries of the Maxilla/Mandible 308,000",301 maxillofacial functional orthognathic surgeries of the maxilla mandible 308 000,OTHER,,,included,,[],,,{},33,"301 Maxillofacial Functional Orthognathic surgeries of the Maxilla/Mandible 308,000","301 Maxillofacial Functional Orthognathic surgeries of the Maxilla/Mandible 308,000",enhanced_text,LOW,False
"303 Maxillofacial Mandibular fractures (ORIF) 145,600",303 maxillofacial mandibular fractures orif 145 600,OTHER,,,included,,[],,,{},33,"303 Maxillofacial Mandibular fractures (ORIF) 145,600","303 Maxillofacial Mandibular fractures (ORIF) 145,600",enhanced_text,LOW,False
"305 Maxillofacial Mandibulectomy plus Reconstruction/Plating 224,000",305 maxillofacial mandibulectomy plus reconstruction plating 224 000,OTHER,,,included,,[],,,{},33,"305 Maxillofacial Mandibulectomy plus Reconstruction/Plating 224,000","305 Maxillofacial Mandibulectomy plus Reconstruction/Plating 224,000",enhanced_text,LOW,False
"306 Maxillofacial Mandibulectomy/Maxillectomy plus Microvascular Bone graft 224,000",306 maxillofacial mandibulectomy maxillectomy plus microvascular bone graft 224 000,OTHER,,,included,,[],,,{},33,"306 Maxillofacial Mandibulectomy/Maxillectomy plus Microvascular Bone graft 224,000","306 Maxillofacial Mandibulectomy/Maxillectomy plus Microvascular Bone graft 224,000",enhanced_text,LOW,False
"307 Maxillofacial Maxillectomy + Obturator 179,200",307 maxillofacial maxillectomy obturator 179 200,OTHER,,,included,,[],,,{},33,"307 Maxillofacial Maxillectomy + Obturator 179,200","307 Maxillofacial Maxillectomy + Obturator 179,200",enhanced_text,LOW,False
"308 Maxillofacial Mid face fractures 145,600",308 maxillofacial mid face fractures 145 600,OTHER,,,included,,[],,,{},34,"308 Maxillofacial Mid face fractures 145,600","308 Maxillofacial Mid face fractures 145,600",enhanced_text,LOW,False
"309 Maxillofacial Oral/ facial/ Catilage Onlay graft 112,000",309 maxillofacial oral facial catilage onlay graft 112 000,OTHER,,,included,,[],,,{},34,"309 Maxillofacial Oral/ facial/ Catilage Onlay graft 112,000","309 Maxillofacial Oral/ facial/ Catilage Onlay graft 112,000",enhanced_text,LOW,False
"310 Maxillofacial Panfacial fractures 392,000",310 maxillofacial panfacial fractures 392 000,OTHER,,,included,,[],,,{},34,"310 Maxillofacial Panfacial fractures 392,000","310 Maxillofacial Panfacial fractures 392,000",enhanced_text,LOW,False
"312 Maxillofacial Reduction of Alveolar fracture closed 33,600",312 maxillofacial reduction of alveolar fracture closed 33 600,OTHER,,,included,,[],,,{},34,"312 Maxillofacial Reduction of Alveolar fracture closed 33,600","312 Maxillofacial Reduction of Alveolar fracture closed 33,600",enhanced_text,LOW,False
"313 Maxillofacial Reduction of Alveolar fracture Open 145,600",313 maxillofacial reduction of alveolar fracture open 145 600,OTHER,,,included,,[],,,{},34,"313 Maxillofacial Reduction of Alveolar fracture Open 145,600","313 Maxillofacial Reduction of Alveolar fracture Open 145,600",enhanced_text,LOW,False
"320 Maxillofacial RMND+ Mandibulectomy/Maxillectomy with Microvascular Free Flap 358,400",320 maxillofacial rmnd mandibulectomy maxillectomy with microvascular free flap 358 400,OTHER,,,included,,[],,,{},34,"320 Maxillofacial RMND+ Mandibulectomy/Maxillectomy with Microvascular Free Flap 358,400","320 Maxillofacial RMND+ Mandibulectomy/Maxillectomy with Microvascular Free Flap 358,400",enhanced_text,LOW,False
